ear,mar
0.19,0.45
0.2,0.54
0.19,0.47
0.34,0.58
0.26,0.54
0.23,0.48
0.21,0.42
0.33,0.43
0.21,0.43
0.26,0.45
0.34,0.44
0.21,0.44
0.35,0.44
0.22,0.45
0.35,0.45
0.21,0.45
0.32,0.45
0.23,0.46
0.22,0.45
0.24,0.46
0.21,0.45
0.2,0.43
0.16,0.39
0.29,0.43
0.18,0.47
0.15,0.41
0.2,0.55
0.29,0.55
0.26,0.52
0.2,0.51
0.2,0.51
0.2,0.5
0.29,0.51
0.3,0.51
0.22,0.52
0.21,0.51
0.23,0.51
0.28,0.51
0.2,0.51
0.2,0.51
0.17,0.54
0.18,0.53
0.28,0.51
0.27,0.44
0.16,0.45
0.26,0.44
0.21,0.44
0.26,0.45
0.18,0.45
0.29,0.44
0.27,0.44
0.18,0.45
0.21,0.45
0.26,0.44
0.27,0.44
0.19,0.44
0.27,0.44
0.29,0.45
0.29,0.44
0.19,0.44
0.28,0.45
