ear,mar
0.38,0.51
0.36,0.52
0.38,0.49
0.36,0.51
0.36,0.52
0.37,0.51
0.35,0.52
0.37,0.5
0.36,0.51
0.37,0.51
0.39,0.51
0.37,0.52
0.37,0.52
0.39,0.51
0.37,0.52
0.36,0.52
0.36,0.51
0.36,0.5
0.36,0.51
0.36,0.51
0.36,0.34
0.36,0.32
0.34,0.38
0.34,0.4
0.35,0.41
0.32,0.39
0.32,0.45
0.34,0.41
0.35,0.42
0.31,0.41
0.37,0.41
0.34,0.42
0.32,0.42
0.37,0.44
0.33,0.43
0.31,0.43
0.31,0.42
0.33,0.42
0.31,0.41
0.36,0.44
0.32,0.4
0.33,0.42
0.34,0.41
0.36,0.43
0.32,0.32
0.32,0.43
0.3,0.45
0.3,0.46
0.3,0.44
0.32,0.47
0.32,0.45
0.3,0.45
0.32,0.44
0.31,0.43
0.3,0.43
0.31,0.44
0.32,0.42
0.3,0.43
0.32,0.43
0.33,0.43
0.33,0.42
0.3,0.42
