ear,mar
0.31,0.32
0.33,0.41
0.33,0.4
0.3,0.41
0.33,0.42
0.29,0.42
0.26,0.42
0.27,0.41
0.28,0.41
0.3,0.4
0.31,0.38
0.28,0.4
0.28,0.41
0.3,0.33
0.31,0.47
0.29,0.46
0.28,0.36
0.29,0.36
0.3,0.39
0.31,0.38
0.43,0.32
0.29,0.37
0.32,0.38
0.29,0.38
0.3,0.4
0.27,0.41
0.31,0.39
0.26,0.39
0.21,0.37
0.31,0.28
0.32,0.33
0.3,0.39
0.28,0.4
0.27,0.42
0.34,0.35
0.35,0.36
0.29,0.38
0.29,0.39
0.29,0.36
0.34,0.39
0.31,0.37
0.29,0.37
0.34,0.41
0.38,0.3
0.38,0.4
0.38,0.41
0.37,0.39
0.23,0.37
0.32,0.31
0.38,0.41
0.42,0.37
0.4,0.35
0.38,0.33
0.35,0.39
0.36,0.39
0.37,0.39
0.35,0.38
0.37,0.37
0.33,0.39
0.36,0.39
0.35,0.42
0.35,0.43
0.31,0.43
0.34,0.39
0.37,0.37
0.35,0.43
0.33,0.43
0.33,0.41
0.33,0.41
0.39,0.44
0.34,0.44
0.33,0.43
0.34,0.43
0.34,0.41
0.36,0.42
0.34,0.44
0.38,0.34
0.38,0.4
0.38,0.4
0.36,0.38
0.37,0.38
0.37,0.41
0.38,0.7
0.38,0.34
0.37,0.38
0.34,0.44
0.33,0.42
0.37,0.39
0.37,0.41
0.34,0.32
0.35,0.32
0.35,0.39
0.35,0.41
0.36,0.43
0.37,0.42
0.34,0.39
0.31,0.4
0.3,0.39
0.24,0.37
0.36,0.33
0.39,0.4
0.39,0.43
0.33,0.42
0.34,0.4
0.36,0.4
0.35,0.4
0.37,0.41
0.35,0.38
0.36,0.44
0.36,0.38
0.34,0.38
0.32,0.42
0.3,0.41
0.37,0.35
0.37,0.4
0.35,0.44
0.36,0.43
0.36,0.31
0.36,0.44
0.39,0.29
0.38,0.36
0.33,0.4
0.24,0.34
0.36,0.34
0.37,0.38
0.35,0.49
0.32,0.5
0.36,0.36
0.36,0.38
0.35,0.4
0.36,0.39
0.37,0.38
0.38,0.39
0.35,0.38
0.37,0.43
0.34,0.44
0.29,0.46
0.32,0.44
0.33,0.44
0.25,0.43
0.24,0.36
0.39,0.33
0.36,0.37
0.34,0.38
0.34,0.39
0.36,0.4
0.35,0.36
0.35,0.38
0.34,0.34
0.36,0.36
0.34,0.35
0.34,0.32
0.4,0.35
0.42,0.39
0.39,0.33
0.37,0.32
