ear,mar
0.19,0.45
0.34,0.49
0.34,0.49
0.22,0.48
0.34,0.49
0.34,0.48
0.33,0.48
0.34,0.48
0.33,0.48
0.35,0.48
0.34,0.49
0.31,0.48
0.36,0.5
0.25,0.49
0.36,0.49
0.35,0.49
0.28,0.49
0.34,0.7
0.34,0.97
0.33,1.01
0.29,0.69
0.31,0.41
0.31,0.43
0.27,0.46
0.24,0.48
0.25,0.46
0.34,0.49
0.34,0.48
0.29,0.5
0.34,0.51
0.29,0.49
0.28,0.49
0.2,0.48
0.32,0.48
0.28,0.5
0.33,0.5
0.32,0.5
0.34,0.49
0.3,0.5
0.3,0.49
0.29,0.48
0.27,0.49
0.27,0.48
0.27,0.47
0.24,0.47
0.3,0.5
0.33,0.5
0.24,0.49
0.29,0.5
0.3,0.5
0.27,0.48
0.29,0.5
0.2,0.47
0.2,0.49
0.23,0.49
0.21,0.47
0.13,0.16
0.15,0.39
0.11,0.38
0.13,0.36
0.16,0.33
0.34,0.49
0.32,0.5
0.29,0.51
0.33,0.52
0.3,0.64
0.32,0.95
0.3,1.03
0.35,0.45
0.22,0.43
0.31,0.48
0.22,0.48
0.27,0.49
0.32,0.49
0.3,0.49
0.32,0.5
0.22,0.5
0.31,0.54
0.25,0.48
0.33,0.44
0.32,0.44
0.23,0.46
0.28,0.46
0.3,0.46
0.23,0.46
0.29,0.47
0.3,0.46
0.24,0.48
0.3,0.46
0.28,0.48
0.22,0.46
0.23,0.46
0.31,0.47
0.33,0.49
0.28,0.48
0.23,0.45
0.22,0.46
0.21,0.45
0.14,0.34
0.11,0.31
0.16,0.39
0.2,0.41
0.21,0.4
0.19,0.4
0.18,0.4
0.18,0.39
0.11,0.31
0.2,0.42
0.32,0.48
0.22,0.49
0.33,0.49
0.27,0.49
0.32,0.48
0.31,0.5
0.33,0.48
0.27,0.48
0.3,0.49
0.32,0.52
0.3,0.59
0.29,1.01
0.3,0.91
0.3,0.46
0.29,0.39
0.3,0.43
0.27,0.46
0.34,0.47
0.25,0.48
