ear,mar
0.41,0.33
0.41,0.34
0.41,0.32
0.36,0.32
0.39,0.31
0.38,0.32
0.4,0.29
0.41,0.3
0.4,0.32
0.41,0.32
0.43,0.34
0.41,0.32
0.37,0.5
0.41,0.61
0.33,0.44
0.39,0.38
0.4,0.39
0.44,0.42
0.36,0.54
0.41,0.62
0.44,0.56
0.34,0.59
0.24,0.67
0.37,0.57
0.42,0.59
0.38,0.59
0.37,0.57
0.41,0.55
0.39,0.56
0.37,0.35
0.25,0.14
0.45,0.5
0.32,0.48
0.4,0.53
0.41,0.5
0.4,0.45
0.35,0.58
0.33,0.58
0.4,0.29
0.44,0.53
0.45,0.6
0.39,0.58
0.43,0.42
0.47,0.52
0.4,0.53
0.34,0.5
0.35,0.5
0.4,0.48
0.39,0.5
0.42,0.55
0.38,0.61
0.32,0.54
0.34,0.38
0.45,0.46
0.32,0.55
0.39,0.64
0.36,0.58
0.38,0.57
0.38,0.69
0.39,0.51
0.44,0.55
0.37,0.6
0.28,0.62
0.38,0.57
0.35,0.55
0.37,0.55
0.39,0.59
0.35,0.75
0.35,0.55
0.42,0.55
0.33,0.58
0.35,0.6
0.47,0.57
0.37,0.53
0.4,0.65
0.38,0.53
0.35,0.55
0.34,0.59
0.36,0.48
0.37,0.5
0.39,0.75
0.25,0.62
0.35,0.54
0.46,0.44
0.39,0.43
0.4,0.42
0.48,0.45
0.32,0.68
0.41,0.51
0.4,0.49
0.43,0.48
0.43,0.49
0.35,0.46
0.4,0.57
0.43,0.67
0.32,0.56
0.37,0.56
0.24,0.35
0.39,0.56
0.37,0.4
0.35,0.51
0.38,0.56
0.38,0.64
0.31,0.61
0.4,0.53
0.38,0.45
0.41,0.49
0.35,0.55
0.37,0.58
0.35,0.61
0.35,0.61
0.41,0.39
0.36,0.46
0.41,0.39
0.37,0.68
0.31,0.34
0.34,0.51
