ear,mar
0.19,0.45
0.34,0.49
0.34,0.49
0.22,0.48
0.34,0.49
0.34,0.48
0.33,0.48
0.34,0.48
0.33,0.48
0.35,0.48
0.34,0.49
0.31,0.48
0.36,0.5
0.25,0.49
0.36,0.49
0.35,0.49
0.28,0.49
0.34,0.7
0.34,0.97
0.33,1.01
0.29,0.69
0.31,0.41
0.31,0.43
0.27,0.46
0.24,0.48
0.25,0.46
0.34,0.49
0.34,0.48
0.29,0.5
0.34,0.51
0.29,0.49
0.28,0.49
0.2,0.48
0.32,0.48
0.28,0.5
0.33,0.5
0.32,0.5
0.34,0.49
0.3,0.5
0.3,0.49
0.29,0.48
0.27,0.49
0.27,0.48
0.27,0.47
0.24,0.47
0.3,0.5
0.33,0.5
0.24,0.49
0.29,0.5
0.3,0.5
0.27,0.48
0.29,0.5
0.2,0.47
0.2,0.49
0.23,0.49
0.21,0.47
0.13,0.16
0.15,0.39
0.11,0.38
0.13,0.36
0.16,0.33
0.34,0.49
0.32,0.5
0.29,0.51
0.33,0.52
0.3,0.64
0.32,0.95
0.3,1.03
0.35,0.45
0.22,0.43
0.31,0.48
0.22,0.48
0.27,0.49
0.32,0.49
0.3,0.49
0.32,0.5
0.22,0.5
0.31,0.54
0.25,0.48
0.33,0.44
0.32,0.44
0.23,0.46
0.28,0.46
0.3,0.46
0.23,0.46
0.29,0.47
0.3,0.46
0.24,0.48
0.3,0.46
0.28,0.48
0.22,0.46
0.23,0.46
0.31,0.47
0.33,0.49
0.28,0.48
0.23,0.45
0.22,0.46
0.21,0.45
0.14,0.34
0.11,0.31
0.16,0.39
0.2,0.41
0.21,0.4
0.19,0.4
0.18,0.4
0.18,0.39
0.11,0.31
0.2,0.42
0.32,0.48
0.22,0.49
0.33,0.49
0.27,0.49
0.32,0.48
0.31,0.5
0.33,0.48
0.27,0.48
0.3,0.49
0.32,0.52
0.3,0.59
0.29,1.01
0.3,0.91
0.3,0.46
0.29,0.39
0.3,0.43
0.27,0.46
0.34,0.47
0.25,0.48
0.23,0.5
0.3,0.47
0.32,0.48
0.33,0.46
0.33,0.48
0.33,0.48
0.34,0.47
0.34,0.47
0.21,0.45
0.22,0.47
0.35,0.46
0.32,0.45
0.32,0.46
0.31,0.55
0.25,0.84
0.3,1.0
0.3,1.03
0.28,1.15
0.27,1.33
0.28,1.24
0.3,1.25
0.31,1.3
0.31,1.05
0.32,0.44
0.28,0.39
0.25,0.5
0.31,0.47
0.31,0.43
0.35,0.43
0.27,0.45
0.28,0.47
0.25,0.47
0.27,0.47
0.3,0.47
0.24,0.47
0.25,0.45
0.25,0.45
0.23,0.38
0.23,0.47
0.27,0.42
0.32,0.45
0.32,0.46
0.3,0.46
0.32,0.46
0.21,0.48
0.33,0.48
0.29,0.48
0.31,0.46
0.33,0.47
0.3,0.5
0.28,0.5
0.3,0.55
0.27,0.62
0.32,0.77
0.26,0.8
0.28,0.91
0.3,1.0
0.27,1.14
0.23,1.19
0.27,1.21
0.25,1.34
0.25,1.4
0.25,1.57
0.24,1.62
0.2,1.58
0.23,1.4
0.21,0.83
0.19,0.31
0.2,0.43
0.25,0.4
0.21,0.42
0.29,0.56
0.21,0.43
0.29,0.42
0.3,0.43
0.22,0.46
0.33,0.44
0.31,0.45
0.26,0.45
0.28,0.44
0.3,0.45
0.3,0.46
0.31,0.44
0.24,0.46
0.29,0.46
0.22,0.46
0.22,0.44
0.22,0.44
0.25,0.38
0.24,0.4
0.24,0.39
0.32,0.45
0.34,0.44
0.36,0.45
0.33,0.45
0.23,0.44
0.32,0.43
0.25,0.44
0.33,0.46
0.24,0.47
0.32,0.44
0.33,0.45
0.32,0.45
0.27,0.45
0.28,0.44
0.25,0.46
0.22,0.45
0.28,0.4
0.27,0.4
0.23,0.32
0.38,0.48
0.35,0.48
0.26,0.46
0.26,0.46
0.25,0.55
0.24,0.49
0.25,0.48
0.24,0.48
0.23,0.49
0.23,0.5
0.24,0.48
0.2,0.46
0.19,0.55
0.2,0.49
0.25,0.47
0.19,0.49
0.23,0.48
0.21,0.51
0.23,0.48
0.23,0.47
0.25,0.47
0.25,0.48
0.22,0.5
0.24,0.48
0.26,0.5
0.25,0.49
0.23,0.48
0.23,0.48
0.2,0.49
0.26,0.5
0.21,0.58
0.26,0.81
0.34,1.16
0.28,1.06
0.35,0.84
0.34,0.71
0.34,0.55
0.3,0.45
0.21,0.48
0.22,0.47
0.21,0.46
0.21,0.46
0.18,0.46
0.26,0.47
0.2,0.46
0.15,0.42
0.19,0.34
0.19,0.42
0.3,0.32
0.26,0.48
0.19,0.48
0.26,0.49
0.23,0.49
0.26,0.49
0.25,0.49
0.29,0.56
0.26,0.56
0.27,0.81
0.24,1.4
0.19,0.63
0.23,0.49
0.21,0.45
0.26,0.46
0.28,0.48
0.29,0.47
0.25,0.46
0.26,0.44
0.25,0.45
0.29,0.37
0.2,0.46
