ear,mar
0.19,0.49
0.25,0.5
0.28,1.01
0.24,0.49
0.2,0.51
0.27,0.5
0.24,0.5
0.2,0.5
0.11,0.5
0.22,1.03
0.22,0.5
0.23,0.54
0.22,0.48
0.22,0.49
0.11,0.45
0.11,0.48
0.22,0.5
0.27,1.01
0.25,0.48
0.23,0.5
0.21,0.55
0.25,1.33
0.25,1.3
0.24,0.47
0.23,0.47
0.21,0.48
0.26,0.91
0.23,1.57
0.19,1.62
0.21,0.56
0.24,0.46
0.22,0.46
0.23,0.45
0.24,0.47
0.22,0.48
0.23,0.55
0.19,0.55
0.21,0.51
0.2,0.5
0.21,1.16
0.18,0.48
0.15,0.48
0.23,0.81
0.19,1.4
0.2,0.46
0.18,0.47
0.18,0.93
0.24,0.57
0.16,0.48
0.18,0.48
0.2,0.47
0.21,0.47
0.22,0.49
0.2,1.19
0.2,1.62
0.22,0.76
0.2,0.48
0.39,0.48
0.38,0.52
0.3,0.48
0.31,0.46
0.29,0.49
0.29,0.48
0.26,0.68
0.18,0.41
0.21,1.1
0.2,0.69
0.24,0.47
0.21,0.47
0.19,0.5
0.29,0.49
0.24,0.47
0.29,0.43
0.27,1.15
0.22,1.27
0.21,1.0
0.18,0.71
0.24,0.49
0.28,0.51
0.23,0.57
0.25,0.48
0.2,0.46
0.21,0.52
0.27,0.45
0.28,0.55
0.32,0.46
0.26,0.47
0.29,0.46
0.27,0.47
0.26,1.43
0.28,1.32
0.25,0.5
0.26,0.5
0.23,0.51
0.18,0.51
0.18,0.51
0.19,0.51
0.18,0.52
0.26,0.49
0.26,0.49
0.24,0.51
0.27,0.49
0.26,0.49
0.23,0.49
0.23,0.54
0.19,0.53
0.37,0.46
0.3,0.46
0.18,1.49
0.22,1.42
0.2,0.41
0.18,0.45
0.16,0.44
0.14,0.44
0.18,0.74
0.17,1.34
0.19,0.41
0.16,0.41
0.18,0.42
0.16,0.45
0.16,0.46
0.14,0.49
0.26,0.5
0.15,0.47
0.37,0.33
0.31,0.33
0.26,0.37
0.3,0.62
0.21,0.93
0.28,0.51
0.19,0.44
0.21,0.53
0.2,0.51
0.29,1.4
0.19,0.47
0.21,0.48
0.23,0.54
0.21,0.94
0.25,0.72
0.14,0.62
0.22,0.54
0.28,0.39
0.28,0.4
0.28,0.38
0.26,0.38
0.19,0.45
0.17,0.53
0.23,1.05
0.17,0.82
0.16,0.71
0.29,0.46
0.23,0.51
0.18,0.59
0.18,0.58
0.32,0.47
0.24,0.61
0.26,0.66
0.21,0.61
0.18,1.04
0.16,1.25
0.17,0.37
0.2,0.37
0.26,0.41
0.19,0.48
0.17,0.61
0.21,0.48
0.18,0.49
0.17,0.44
0.17,0.4
0.12,0.38
0.17,0.43
0.19,0.6
0.17,0.47
0.16,0.43
0.18,0.45
0.16,0.46
0.22,0.41
0.18,0.52
0.15,0.7
0.16,0.39
0.21,0.44
0.19,0.6
0.35,0.37
0.32,0.37
0.21,0.56
0.25,0.39
0.23,0.31
0.27,0.43
0.23,0.28
0.24,0.28
0.25,0.69
0.25,0.55
0.21,0.33
0.34,0.26
0.24,0.3
0.22,0.63
0.2,0.58
0.38,0.32
0.34,0.22
0.17,0.65
0.28,0.25
0.19,0.25
0.23,0.52
0.3,1.12
0.19,1.01
0.21,0.7
0.2,0.6
0.27,0.65
0.31,0.94
0.25,1.19
0.21,0.81
0.22,0.42
0.19,0.39
0.3,0.27
0.22,0.26
0.26,0.41
