ear,mar
0.28,0.42
0.32,0.42
0.34,0.44
0.33,0.42
0.33,0.43
0.32,0.43
0.31,0.42
0.33,0.43
0.31,0.42
0.31,0.43
0.3,0.44
0.34,0.46
0.2,0.39
0.33,0.46
0.22,0.39
0.31,0.4
0.3,0.36
0.3,0.4
0.22,0.42
0.32,0.47
0.3,0.47
0.34,0.49
0.33,0.47
0.44,0.71
0.39,0.61
0.36,0.61
0.38,0.5
0.36,0.49
0.27,0.49
0.22,0.55
0.41,0.68
0.41,0.56
0.38,0.52
0.36,0.55
0.31,0.48
0.3,0.49
0.33,0.47
0.34,0.48
0.25,0.39
0.32,0.46
0.34,0.48
0.34,0.48
0.33,0.46
0.42,0.5
0.39,0.49
0.32,0.48
0.34,0.47
0.34,0.48
0.35,0.48
0.35,0.48
0.35,0.57
0.33,0.57
0.37,0.63
0.34,0.6
0.4,0.61
0.35,0.61
0.31,0.56
0.37,0.4
0.38,0.59
0.37,0.53
0.37,0.51
0.33,0.49
0.31,0.48
0.32,0.47
0.16,0.41
0.34,0.46
0.33,0.59
0.37,0.54
0.27,0.57
0.38,0.52
0.35,0.46
0.33,0.49
0.23,0.49
0.31,0.5
0.32,0.48
0.31,0.45
0.25,0.41
0.33,0.47
0.25,0.41
0.25,0.41
0.3,0.4
0.26,0.4
0.22,0.42
0.32,0.43
0.32,0.46
0.33,0.47
0.26,0.48
0.34,0.5
0.31,0.47
0.34,0.48
0.37,0.52
0.34,0.47
0.24,0.41
0.26,0.41
0.35,0.56
0.4,0.54
0.33,0.6
0.31,0.52
0.33,0.58
0.33,0.53
0.3,0.59
0.23,0.38
0.35,0.73
0.35,0.55
0.37,0.5
0.38,0.66
0.36,0.6
0.33,0.43
0.33,0.43
0.2,0.44
0.24,0.41
0.28,0.42
0.21,0.36
0.27,0.39
0.34,0.48
0.28,0.66
0.38,0.51
0.3,0.42
0.29,0.39
0.3,0.4
0.3,0.4
0.32,0.43
0.28,0.58
0.33,0.45
0.33,0.44
0.33,0.44
0.31,0.44
0.32,0.45
0.18,0.45
0.18,0.34
0.18,0.24
0.25,0.28
0.24,0.5
0.23,0.5
0.4,0.5
0.15,0.54
0.16,0.42
0.18,0.32
0.13,0.35
0.17,0.36
0.23,0.57
0.22,0.64
0.18,0.53
0.14,0.46
0.18,0.48
0.11,0.42
0.13,0.4
0.22,0.41
0.29,0.54
0.28,0.42
0.22,0.31
0.14,0.44
0.29,0.31
0.27,0.41
0.25,0.41
0.27,0.47
0.21,0.4
0.25,0.36
0.29,0.36
0.28,0.39
0.3,0.41
0.24,0.43
0.27,0.46
0.25,0.53
0.19,0.4
0.27,0.43
0.24,0.43
0.26,0.43
0.17,0.45
0.37,0.44
0.36,0.46
0.34,0.43
0.35,0.44
0.31,0.44
0.35,0.45
0.39,0.63
0.36,0.44
0.39,0.46
0.3,0.42
0.37,0.42
0.34,0.41
0.33,0.41
0.38,0.42
0.35,0.43
0.45,0.57
0.43,0.56
0.23,0.47
0.3,0.43
0.3,0.42
0.28,0.42
0.22,0.43
0.28,0.43
0.29,0.44
0.36,0.56
0.37,0.47
0.39,0.45
0.24,0.45
0.27,0.45
0.32,0.46
0.37,0.47
0.36,0.46
0.23,0.47
0.33,0.46
0.34,0.46
0.35,0.44
0.36,0.44
0.33,0.44
0.34,0.47
0.34,0.62
0.36,0.45
0.26,0.54
0.32,0.44
0.3,0.45
0.36,0.5
0.42,0.54
0.25,0.44
0.38,0.58
0.3,0.44
0.24,0.46
0.31,0.46
0.34,0.44
0.26,0.32
0.22,0.42
0.24,0.42
0.26,0.43
0.25,0.44
0.25,0.44
0.24,0.42
0.23,0.44
0.24,0.44
0.25,0.46
0.26,0.45
0.22,0.43
0.26,0.45
0.23,0.43
0.25,0.51
0.26,0.55
0.24,0.56
0.24,0.58
0.2,0.66
0.21,0.51
0.2,0.49
0.17,0.43
0.18,0.38
0.26,0.41
0.23,0.5
0.09,0.46
0.19,0.48
0.2,0.49
0.2,0.5
0.19,0.53
0.19,0.44
0.18,0.46
0.17,0.47
0.17,0.48
0.16,0.46
0.18,0.49
0.15,0.47
0.18,0.46
0.16,0.48
0.19,0.43
0.21,0.41
0.19,0.5
0.17,0.52
0.18,0.45
0.18,0.54
0.17,0.48
0.14,0.46
0.17,0.46
0.14,0.47
0.15,0.48
0.17,0.48
0.17,0.49
0.17,0.48
0.18,0.46
0.17,0.46
0.21,0.44
0.19,0.56
0.19,0.67
0.19,0.51
0.16,0.48
0.13,0.48
0.13,0.45
0.15,0.47
0.19,0.47
0.15,0.47
0.2,0.47
0.15,0.46
0.2,0.48
0.18,0.47
0.22,0.5
0.21,0.48
0.22,0.41
0.19,0.5
0.14,0.49
0.21,0.51
0.19,0.56
0.17,0.38
0.19,0.44
0.17,0.5
0.22,0.55
0.21,0.61
0.18,0.47
0.15,0.5
0.16,0.5
0.19,0.49
0.2,0.49
0.2,0.57
0.17,0.44
0.17,0.47
0.2,0.49
0.18,0.46
0.21,0.47
0.17,0.47
0.16,0.48
0.18,0.47
0.18,0.47
0.18,0.46
0.18,0.44
0.17,0.44
0.2,0.46
0.18,0.49
0.14,0.46
0.15,0.4
0.17,0.36
0.17,0.38
0.23,0.49
0.25,0.47
0.47,0.64
0.4,0.65
0.48,0.7
0.38,0.64
0.26,0.6
0.17,0.45
0.22,0.47
0.19,0.52
0.38,0.66
0.25,0.54
0.17,0.43
0.27,0.52
0.26,0.54
0.2,0.52
0.32,0.47
0.31,0.62
0.14,0.44
0.16,0.46
0.14,0.48
0.16,0.49
0.19,0.48
0.18,0.5
0.19,0.47
0.18,0.49
0.17,0.51
0.19,0.49
0.17,0.49
0.18,0.5
0.22,0.65
0.23,0.57
0.21,0.55
0.23,0.5
0.21,0.5
0.14,0.48
0.17,0.47
0.22,0.5
0.21,0.51
0.15,0.45
0.18,0.45
0.2,0.47
0.23,0.4
0.4,0.44
0.42,0.45
0.38,0.44
0.39,0.44
0.38,0.44
0.38,0.44
0.41,0.44
0.37,0.42
0.4,0.43
0.4,0.44
0.38,0.42
0.41,0.44
0.39,0.43
0.42,0.43
0.4,0.43
0.4,0.43
0.4,0.4
0.32,0.74
0.47,0.9
0.41,0.52
0.4,0.5
0.39,0.48
0.38,0.44
0.34,0.38
0.36,0.41
0.33,0.47
0.36,0.45
0.36,0.45
0.35,0.43
0.34,0.44
0.36,0.46
0.43,0.47
0.34,0.42
0.36,0.43
0.38,0.4
0.31,0.5
0.31,0.5
0.38,0.61
0.42,0.53
0.42,0.54
0.4,0.47
0.42,0.49
0.45,0.51
0.46,0.49
0.43,0.51
0.43,0.71
0.28,0.45
0.39,0.46
0.42,0.45
0.43,0.48
0.38,0.58
0.43,0.52
0.44,0.58
0.4,0.54
0.41,0.51
0.4,0.48
0.38,0.48
0.42,0.58
0.32,0.53
0.41,0.46
0.37,0.48
0.34,0.51
0.32,0.53
0.3,0.51
0.21,0.54
0.27,0.65
0.32,0.52
0.32,0.59
0.33,0.56
0.32,0.52
0.31,0.55
0.33,0.56
0.35,0.51
0.35,0.59
0.37,0.44
0.36,0.52
0.34,0.61
0.34,0.53
0.36,0.5
0.38,0.55
0.41,0.49
0.38,0.42
0.4,0.41
0.41,0.43
0.41,0.45
0.38,0.45
0.26,0.45
0.31,0.37
0.19,0.46
0.35,0.57
0.38,0.54
0.38,0.5
0.41,0.6
0.43,0.72
0.39,0.45
0.4,0.5
0.38,0.46
0.37,0.52
0.33,0.5
0.36,0.5
0.24,0.56
0.25,0.47
0.41,0.57
0.41,0.49
0.39,0.47
0.43,0.45
0.37,0.44
0.32,0.43
0.43,0.45
0.38,0.59
0.32,0.55
0.44,0.41
0.43,0.47
0.44,0.52
0.53,0.66
0.45,0.56
0.42,0.42
0.38,0.51
0.41,0.46
0.27,0.36
0.41,0.46
0.41,0.45
0.4,0.43
0.36,0.43
0.35,0.45
0.38,0.46
0.41,0.58
0.29,0.57
0.38,0.49
0.42,0.51
0.42,0.68
0.39,0.44
0.29,0.6
0.41,0.52
0.41,0.48
0.44,0.5
0.42,0.46
0.3,0.42
0.32,0.44
0.32,0.43
0.34,0.44
0.34,0.43
0.34,0.45
0.36,0.43
0.33,0.44
0.33,0.44
0.32,0.44
0.31,0.43
0.34,0.45
0.33,0.48
0.3,0.53
0.3,0.52
0.32,0.49
0.34,0.5
0.29,0.54
0.33,0.45
0.32,0.43
0.34,0.46
0.36,0.5
0.33,0.51
0.34,0.49
0.31,0.37
0.31,0.34
0.26,0.39
0.28,0.39
0.32,0.48
0.3,0.42
0.33,0.45
0.32,0.32
0.32,0.35
0.18,0.48
0.3,0.52
0.29,0.6
0.31,0.49
0.3,0.46
0.32,0.45
0.34,0.5
0.31,0.51
0.32,0.49
0.31,0.44
0.27,0.4
0.27,0.41
0.26,0.39
0.35,0.56
0.31,0.44
0.52,0.77
0.29,0.47
0.28,0.38
0.33,0.42
0.3,0.38
0.28,0.43
0.26,0.4
0.2,0.52
0.24,0.43
0.25,0.42
0.21,0.47
0.39,0.5
0.29,0.43
0.3,0.45
0.31,0.49
0.32,0.48
0.32,0.55
0.19,0.51
0.3,0.49
0.33,0.4
0.29,0.44
0.25,0.46
0.26,0.46
0.31,0.47
0.28,0.45
0.31,0.47
0.33,0.47
0.28,0.5
0.29,0.51
0.28,0.55
0.3,0.4
0.32,0.48
0.33,0.45
0.3,0.52
0.31,0.47
0.3,0.47
0.34,0.37
0.29,0.47
0.32,0.42
0.32,0.43
0.29,0.42
0.27,0.36
0.3,0.36
0.24,0.45
0.21,0.4
0.21,0.49
0.27,0.6
0.2,0.5
0.18,0.49
0.22,0.46
0.21,0.46
0.22,0.47
0.18,0.42
0.26,0.49
0.28,0.45
0.26,0.57
0.14,0.34
0.27,0.59
0.28,0.52
0.29,0.48
0.29,0.49
0.24,0.53
0.19,0.54
0.29,0.47
0.25,0.45
0.28,0.5
0.27,0.35
0.26,0.32
0.26,0.31
0.14,0.35
0.27,0.45
0.27,0.44
0.29,0.54
0.32,0.57
0.27,0.46
0.32,0.5
0.29,0.52
0.31,0.48
0.33,0.49
0.33,0.51
0.21,0.59
0.28,0.44
0.27,0.46
0.28,0.42
0.3,0.39
0.14,0.39
0.33,0.28
0.37,0.43
0.39,0.46
0.36,0.45
0.38,0.45
0.36,0.44
0.37,0.44
0.37,0.44
0.35,0.44
0.36,0.44
0.37,0.45
0.34,0.43
0.5,0.48
0.46,0.52
0.32,0.37
0.34,0.39
0.31,0.33
0.28,0.36
0.26,0.42
0.29,0.4
0.21,0.55
0.3,0.46
0.35,0.32
0.36,0.41
0.56,0.32
0.29,0.47
0.37,0.32
0.36,0.4
0.35,0.29
0.31,0.25
0.26,0.77
0.33,0.43
0.36,0.48
0.35,0.52
0.37,0.3
0.41,0.56
0.4,0.55
0.37,0.36
0.37,0.4
0.19,0.43
0.22,0.41
0.22,0.43
0.28,0.45
0.26,0.39
0.19,0.38
0.27,0.39
0.33,0.39
0.3,0.36
0.32,0.37
0.36,0.39
0.47,0.71
0.3,0.71
0.38,0.53
0.34,0.5
0.3,0.54
0.41,0.49
0.37,0.44
0.4,0.43
0.4,0.43
0.22,0.52
0.39,0.51
0.39,0.46
0.38,0.49
0.39,0.47
0.41,0.44
0.4,0.39
0.36,0.34
0.42,0.48
0.25,0.51
0.37,0.51
0.35,0.41
0.37,0.41
0.36,0.37
0.36,0.44
0.31,0.44
0.34,0.45
0.35,0.45
0.37,0.43
0.5,0.49
0.52,0.54
0.43,0.67
0.38,0.44
0.37,0.44
0.38,0.39
0.36,0.43
0.38,0.43
0.4,0.45
0.4,0.43
0.22,0.51
0.19,0.34
0.34,0.43
0.38,0.43
0.36,0.43
0.35,0.43
0.36,0.42
0.38,0.45
0.39,0.47
0.42,0.45
0.23,0.44
0.35,0.41
0.36,0.43
0.4,0.46
0.39,0.45
0.39,0.45
0.39,0.45
0.4,0.44
0.39,0.45
0.37,0.45
0.36,0.71
0.44,0.59
0.23,0.65
0.35,0.7
0.36,0.46
0.4,0.47
0.35,0.46
0.43,0.47
0.35,0.39
0.3,0.38
0.35,0.39
0.35,0.42
0.34,0.43
0.31,0.4
0.35,0.39
0.32,0.38
0.36,0.38
0.33,0.41
0.3,0.4
0.3,0.4
0.33,0.4
0.27,0.36
0.22,0.37
0.26,0.45
0.17,0.4
0.12,0.92
0.36,0.68
0.35,0.69
0.29,0.67
0.13,0.64
0.31,0.71
0.45,0.64
0.24,0.6
0.29,0.53
0.23,0.46
0.37,0.47
0.41,0.26
0.31,0.36
0.4,0.36
0.39,0.32
0.42,0.35
0.2,0.66
0.47,0.95
0.33,0.79
0.34,0.77
0.39,0.73
0.34,0.64
0.39,0.66
0.42,0.61
0.42,0.59
0.37,0.5
0.38,0.52
0.38,0.59
0.45,0.48
0.38,0.53
0.37,0.55
0.42,0.67
0.36,0.72
0.42,0.76
0.39,0.87
0.44,0.71
