ear,mar
0.34,0.42
0.34,0.39
0.32,0.36
0.44,0.47
0.41,0.48
0.34,0.39
0.42,0.46
0.4,0.48
0.38,0.4
0.38,0.41
0.35,0.41
0.33,0.4
0.37,0.46
0.4,0.41
0.35,0.38
0.38,0.43
0.34,0.36
0.38,0.39
0.33,0.44
0.4,0.24
0.23,0.32
0.29,0.4
0.29,0.31
0.3,0.36
0.37,0.4
0.39,0.43
0.39,0.41
0.45,0.42
0.39,0.43
0.37,0.45
0.36,0.44
0.42,0.44
0.38,0.44
0.26,0.32
0.26,0.43
0.26,0.49
0.26,0.38
0.2,0.44
0.21,0.41
0.18,0.45
0.21,0.44
0.19,0.45
0.22,0.46
0.22,0.38
0.22,0.44
0.2,0.44
0.21,0.44
0.2,0.36
0.48,0.47
0.38,0.43
0.32,0.44
0.19,0.46
0.22,0.49
0.23,0.47
0.23,0.4
0.42,0.44
0.42,0.42
0.47,0.4
0.39,0.38
0.43,0.4
0.42,0.47
0.46,0.45
0.44,0.48
0.42,0.46
0.33,0.51
0.37,0.44
0.41,0.41
0.41,0.37
0.43,0.45
0.41,0.47
0.44,0.41
0.53,0.42
0.41,0.36
0.42,0.46
0.44,0.44
0.36,0.42
0.34,0.43
0.34,0.43
0.36,0.34
0.33,0.32
0.34,0.45
0.52,0.39
0.33,0.38
0.39,0.42
0.33,0.4
0.33,0.45
0.33,0.4
0.34,0.36
0.27,0.4
0.28,0.34
0.29,0.48
0.29,0.31
0.32,0.35
0.33,0.48
0.33,0.28
0.39,0.43
0.5,0.37
0.34,0.33
0.56,0.29
0.41,0.25
0.4,0.36
0.36,0.36
0.47,0.44
0.4,0.43
0.42,0.34
0.37,0.37
0.52,0.39
0.4,0.34
0.42,0.42
0.4,0.41
0.44,0.44
0.43,0.46
0.35,0.38
0.36,0.36
0.36,0.37
0.45,0.46
0.47,0.26
0.42,0.59
0.45,0.48
0.44,0.5
0.43,0.53
0.32,0.38
0.36,0.34
0.34,0.25
0.38,0.4
0.44,0.33
0.33,0.37
0.33,0.42
0.46,0.33
0.26,0.33
0.25,0.37
0.27,0.33
0.25,0.34
0.23,0.41
0.23,0.4
0.25,0.44
0.25,0.4
0.27,0.35
0.25,0.33
0.21,0.32
0.24,0.32
0.22,0.38
0.24,0.41
0.22,0.41
0.28,0.26
0.22,0.39
0.3,0.33
0.36,0.39
0.26,0.4
0.34,0.28
0.46,0.4
0.34,0.25
0.37,0.28
0.34,0.27
0.4,0.29
0.46,0.27
0.34,0.26
0.43,0.15
0.32,0.17
0.34,0.25
0.37,0.27
0.27,0.27
0.39,0.32
0.4,0.11
0.36,0.27
0.32,0.21
0.34,0.23
0.41,0.29
0.43,0.3
0.44,0.38
0.42,0.55
0.45,0.14
0.45,0.29
0.47,0.42
0.45,0.38
0.44,0.51
0.42,0.55
0.47,0.53
0.46,0.44
0.48,0.42
0.43,0.35
0.4,0.4
0.41,0.45
0.41,0.34
0.37,0.26
0.45,0.27
0.44,0.29
0.51,0.33
0.48,0.34
0.46,0.39
0.56,0.38
0.49,0.46
0.44,0.34
0.47,0.4
0.43,0.42
0.48,0.41
0.53,0.34
0.5,0.36
0.46,0.4
0.49,0.34
0.46,0.2
0.43,0.26
0.33,0.2
0.37,0.31
0.5,0.37
0.32,0.36
0.46,0.25
0.38,0.37
0.4,0.32
0.42,0.35
0.43,0.35
0.4,0.39
0.5,0.4
