ear,mar
0.32,0.53
0.35,0.55
0.38,0.56
0.37,0.55
0.33,0.52
0.31,0.51
0.34,0.51
0.34,0.56
0.33,0.58
0.34,0.58
0.35,0.57
0.36,0.57
0.34,0.58
0.35,0.55
0.32,0.54
0.29,0.53
0.36,0.52
0.31,0.58
0.35,0.54
0.32,0.57
0.33,0.56
0.37,0.49
0.38,0.53
0.3,0.52
0.33,0.51
0.34,0.53
0.32,0.53
0.33,0.54
0.31,0.5
0.34,0.54
0.33,0.53
0.36,0.51
0.35,0.52
0.35,0.52
0.36,0.53
0.36,0.54
0.34,0.55
0.36,0.54
0.3,0.52
0.31,0.55
0.31,0.52
0.32,0.58
0.34,0.54
0.32,0.55
0.36,0.53
0.36,0.56
0.36,0.52
0.34,0.55
0.34,0.55
0.36,0.54
0.24,0.53
0.32,0.52
0.33,0.54
0.31,0.55
0.34,0.54
0.34,0.56
0.33,0.53
0.34,0.52
0.35,0.51
0.37,0.53
0.35,0.55
0.21,0.54
0.32,0.53
0.35,0.53
0.34,0.57
0.35,0.52
0.32,0.55
0.34,0.53
0.31,0.55
0.33,0.53
0.33,0.52
0.31,0.53
0.34,0.54
0.34,0.52
0.37,0.55
0.27,0.55
0.3,0.53
0.34,0.5
0.36,0.56
0.36,0.53
0.34,0.51
0.36,0.53
0.36,0.51
0.34,0.54
0.35,0.51
0.23,0.54
0.34,0.53
0.34,0.55
0.36,0.52
0.35,0.52
0.34,0.55
0.36,0.53
0.36,0.55
0.35,0.54
0.36,0.55
0.23,0.56
0.33,0.52
0.34,0.54
0.26,0.58
0.37,0.51
0.37,0.53
0.37,0.54
0.36,0.53
0.39,0.54
0.22,0.56
0.35,0.52
0.34,0.54
0.34,0.54
0.35,0.51
0.34,0.55
0.35,0.54
0.35,0.53
0.35,0.55
0.36,0.54
0.36,0.53
0.34,0.57
0.29,0.56
0.37,0.55
0.37,0.52
0.36,0.55
0.35,0.52
0.35,0.57
0.37,0.55
0.36,0.57
0.34,0.54
0.27,0.52
0.27,0.56
0.33,0.55
0.3,0.55
0.24,0.56
0.31,0.54
0.32,0.54
0.27,0.57
0.37,0.52
0.38,0.53
0.36,0.52
0.31,0.55
0.36,0.54
0.39,0.51
0.38,0.57
0.36,0.55
0.35,0.53
0.37,0.52
0.37,0.54
0.21,0.58
0.35,0.57
0.21,0.56
0.33,0.55
0.36,0.53
0.28,0.54
0.31,0.52
0.35,0.53
0.34,0.57
0.32,0.54
0.34,0.54
0.35,0.53
0.36,0.53
0.33,0.52
0.36,0.55
0.27,0.56
0.33,0.55
0.35,0.53
0.36,0.51
0.26,0.54
0.35,0.55
0.35,0.54
0.34,0.51
0.22,0.54
0.33,0.54
0.35,0.54
0.33,0.53
0.36,0.52
0.24,0.54
0.34,0.53
0.35,0.5
0.28,0.56
0.34,0.52
0.35,0.51
0.35,0.53
0.33,0.54
0.31,0.54
0.36,0.51
0.28,0.55
0.34,0.54
0.23,0.54
0.33,0.53
0.23,0.53
0.33,0.52
0.36,0.52
0.21,0.54
0.33,0.51
0.36,0.52
0.34,0.53
0.31,0.55
0.34,0.51
0.23,0.55
0.31,0.53
0.34,0.55
0.2,0.53
0.32,0.51
0.34,0.5
0.33,0.47
0.33,0.49
0.25,0.6
0.25,0.44
0.33,0.59
0.36,0.45
0.33,0.36
0.32,0.34
0.32,0.39
0.32,0.32
0.36,0.36
0.34,0.43
0.29,0.38
0.32,0.42
0.35,0.38
0.34,0.36
0.29,0.42
0.29,0.4
0.31,0.36
0.24,0.4
0.3,0.43
0.2,0.38
0.31,0.38
0.32,0.39
0.32,0.41
0.24,0.39
0.31,0.4
0.34,0.4
0.25,0.39
0.32,0.4
0.31,0.41
0.26,0.41
0.3,0.45
0.22,0.43
0.32,0.41
0.34,0.42
0.33,0.42
0.22,0.41
0.33,0.4
0.33,0.41
0.35,0.43
0.33,0.44
0.24,0.43
0.33,0.44
0.31,0.43
0.28,0.44
0.31,0.44
0.34,0.42
0.17,0.43
0.31,0.41
