ear,mar
0.28,0.38
0.29,0.41
0.29,0.39
0.27,0.39
0.27,0.38
0.27,0.4
0.25,0.41
0.29,0.42
0.21,0.44
0.19,0.45
0.2,0.45
0.21,0.48
0.23,0.54
0.29,0.52
0.3,0.44
0.34,0.4
0.35,0.4
0.3,0.41
0.2,0.4
0.21,0.41
0.22,0.42
0.2,0.43
0.27,0.43
0.26,0.45
0.28,0.45
0.23,0.45
0.22,0.45
0.22,0.45
0.19,0.45
0.21,0.47
0.34,0.47
0.35,0.5
0.39,0.52
0.37,0.55
0.38,0.55
0.38,0.57
0.38,0.58
0.36,0.56
0.37,0.56
0.38,0.55
0.34,0.54
0.35,0.53
0.34,0.52
0.35,0.51
0.35,0.52
0.38,0.52
0.36,0.5
0.33,0.48
0.26,0.48
0.27,0.48
0.26,0.48
0.23,0.48
0.25,0.47
0.24,0.47
0.23,0.45
0.24,0.45
0.3,0.45
0.33,0.43
0.32,0.44
0.23,0.42
0.24,0.42
0.34,0.4
0.22,0.4
0.22,0.41
0.24,0.41
0.32,0.41
0.21,0.42
0.23,0.41
0.32,0.41
0.35,0.41
0.36,0.41
0.36,0.41
0.36,0.41
0.37,0.41
0.33,0.41
0.34,0.41
0.36,0.41
0.35,0.41
0.35,0.43
0.33,0.42
0.34,0.42
0.36,0.42
0.36,0.42
0.36,0.43
0.32,0.42
0.33,0.43
0.33,0.43
0.33,0.43
0.32,0.42
0.21,0.42
0.26,0.42
0.32,0.42
0.33,0.42
0.34,0.42
0.35,0.43
0.36,0.43
0.34,0.43
0.36,0.43
0.36,0.44
0.34,0.45
0.36,0.44
0.36,0.44
0.36,0.43
0.36,0.44
0.35,0.44
0.35,0.44
0.34,0.43
0.35,0.44
0.35,0.44
0.36,0.44
0.34,0.44
0.35,0.44
0.36,0.43
0.35,0.44
0.35,0.44
0.34,0.44
0.21,0.43
0.22,0.44
0.3,0.44
0.35,0.43
0.35,0.44
0.36,0.44
0.37,0.44
0.36,0.44
0.37,0.44
0.36,0.43
0.36,0.44
0.36,0.44
0.36,0.43
0.36,0.44
0.37,0.44
0.36,0.44
0.36,0.44
0.35,0.44
0.24,0.44
0.22,0.44
0.3,0.45
0.33,0.44
0.33,0.43
0.33,0.44
0.35,0.43
0.35,0.44
0.36,0.44
0.35,0.45
0.36,0.45
0.35,0.44
0.35,0.44
0.35,0.44
0.35,0.44
0.35,0.44
0.36,0.45
0.32,0.44
0.21,0.43
0.22,0.43
0.28,0.44
0.32,0.44
0.34,0.45
0.34,0.44
0.35,0.44
0.35,0.44
0.34,0.44
0.34,0.44
0.35,0.44
0.35,0.44
0.35,0.44
0.34,0.44
0.32,0.45
0.33,0.44
0.33,0.44
0.32,0.45
0.33,0.45
0.34,0.46
0.35,0.45
0.35,0.44
0.34,0.44
