ear,mar
0.13,0.53
0.15,0.6
0.15,0.45
0.28,0.44
0.15,0.44
0.27,0.47
0.13,0.44
0.26,0.45
0.18,0.44
0.15,0.45
0.23,0.45
0.19,0.47
0.18,0.44
0.21,0.45
0.14,0.46
0.11,0.44
0.23,0.45
0.24,0.43
0.24,0.44
0.15,0.44
0.27,0.58
0.24,0.48
0.16,0.43
0.24,0.44
0.15,0.43
0.12,0.43
0.15,0.42
0.13,0.59
0.26,0.53
0.28,0.51
0.24,0.48
0.24,0.49
0.23,0.49
0.15,0.49
0.26,0.52
0.25,0.42
0.24,0.41
0.22,0.43
0.15,0.42
0.16,0.42
0.2,0.43
0.18,0.55
0.26,0.39
0.24,0.39
0.17,0.4
0.27,0.41
0.26,0.43
0.25,0.44
0.26,0.47
0.24,0.43
0.23,0.44
0.14,0.44
0.2,0.43
0.24,0.43
0.21,0.41
0.1,0.42
0.15,0.42
0.18,0.41
0.15,0.41
0.13,0.39
0.16,0.63
0.26,0.51
0.28,0.42
0.26,0.44
0.26,0.44
0.25,0.43
0.22,0.45
0.12,0.43
0.12,0.44
0.19,0.59
0.23,0.57
0.26,0.43
0.26,0.42
0.27,0.42
0.25,0.41
0.23,0.42
0.18,0.43
0.21,0.49
0.18,0.44
0.27,0.51
0.25,0.48
0.21,0.4
0.19,0.4
0.25,0.41
0.28,0.48
0.17,0.45
0.16,0.6
0.19,0.58
0.35,0.43
0.34,0.44
0.32,0.44
0.23,0.44
0.33,0.44
0.21,0.42
0.2,0.41
0.18,0.4
0.17,0.58
0.19,0.53
0.22,0.56
0.18,0.56
0.17,0.54
0.19,0.59
0.29,0.78
0.18,0.55
0.21,0.5
0.34,0.41
0.32,0.42
0.31,0.42
0.32,0.42
0.33,0.42
0.33,0.42
0.22,0.42
0.33,0.42
0.32,0.41
0.34,0.4
0.32,0.43
0.3,0.43
0.28,0.43
0.21,0.45
0.32,0.54
0.31,0.43
0.3,0.44
0.31,0.46
0.24,0.45
0.22,0.46
0.19,0.46
0.19,0.45
0.19,0.47
0.2,0.55
0.32,0.44
0.31,0.45
0.29,0.47
0.3,0.46
0.27,0.45
0.21,0.46
0.21,0.45
0.2,0.44
0.2,0.46
0.23,0.46
0.3,0.47
0.3,0.46
0.3,0.49
0.3,0.46
0.29,0.46
0.3,0.47
0.31,0.46
0.29,0.49
0.28,0.45
0.21,0.45
0.18,0.49
0.29,0.58
0.29,0.48
0.2,0.61
0.19,0.43
0.33,0.43
0.34,0.44
0.35,0.44
0.35,0.44
0.33,0.43
0.22,0.41
0.21,0.47
0.33,0.47
0.19,0.46
0.33,0.73
0.35,0.85
0.34,0.89
0.22,0.79
0.18,0.56
0.34,0.44
0.33,0.47
0.28,0.47
0.31,0.47
0.26,0.45
0.26,0.44
0.19,0.42
0.19,0.44
0.21,0.56
0.25,0.56
0.25,0.47
0.21,0.49
0.16,0.58
0.24,0.59
0.16,0.49
0.32,0.44
0.19,0.45
0.32,0.45
0.21,0.45
0.33,0.44
0.34,0.44
0.33,0.45
0.31,0.44
0.3,0.42
0.26,0.43
0.22,0.42
0.22,0.42
0.22,0.4
0.19,0.46
0.19,0.45
0.18,0.48
0.2,0.45
0.26,0.45
0.2,0.43
0.32,0.45
0.3,0.45
0.3,0.45
0.3,0.44
0.29,0.44
0.22,0.43
0.32,0.43
0.31,0.42
0.31,0.43
0.2,0.44
0.2,0.46
0.19,0.44
0.21,0.63
0.19,0.47
0.31,0.48
0.32,0.46
0.33,0.46
0.3,0.43
0.21,0.45
0.3,0.46
0.28,0.48
0.21,0.49
0.19,0.5
0.21,0.49
0.2,0.5
0.19,0.49
0.3,0.46
0.32,0.44
0.23,0.49
0.33,0.48
0.32,0.48
0.23,0.47
0.2,0.47
0.3,0.46
0.29,0.47
0.22,0.46
0.21,0.46
0.23,0.45
0.32,0.41
0.31,0.43
0.3,0.42
0.25,0.42
0.19,0.4
0.2,0.41
0.19,0.48
0.2,0.56
0.32,0.56
0.33,0.52
0.29,0.53
0.21,0.54
0.19,0.53
0.15,0.57
0.2,0.56
0.21,0.45
0.32,0.41
0.22,0.43
0.22,0.44
0.32,0.43
0.29,0.41
0.29,0.42
0.22,0.42
0.19,0.43
0.33,0.42
0.33,0.41
0.32,0.41
0.21,0.45
0.31,0.47
0.32,0.48
0.3,0.47
0.27,0.47
0.2,0.48
0.19,0.48
0.17,0.48
0.16,0.47
0.28,0.48
0.24,0.47
0.17,0.48
0.16,0.48
0.18,0.47
0.19,0.46
0.19,0.48
0.23,0.59
0.3,0.47
0.31,0.41
0.31,0.41
0.31,0.41
0.22,0.43
0.29,0.44
0.32,0.49
0.29,0.5
0.2,0.46
0.31,0.4
0.31,0.42
0.31,0.41
0.22,0.39
0.3,0.4
0.3,0.39
0.32,0.4
0.19,0.4
0.33,0.4
0.2,0.4
0.2,0.5
0.21,0.58
0.35,0.5
0.37,0.47
0.24,0.53
0.25,0.4
0.35,0.38
0.21,0.4
0.34,0.42
