ear,mar
0.13,0.6
0.15,0.45
0.15,0.47
0.13,0.45
0.15,0.45
0.19,0.47
0.18,0.45
0.11,0.46
0.23,0.45
0.15,0.44
0.24,0.58
0.16,0.44
0.12,0.43
0.13,0.59
0.26,0.53
0.24,0.49
0.15,0.49
0.25,0.52
0.22,0.43
0.15,0.42
0.18,0.55
0.24,0.39
0.17,0.41
0.25,0.44
0.24,0.47
0.14,0.44
0.2,0.43
0.1,0.42
0.15,0.42
0.13,0.41
0.16,0.63
0.26,0.44
0.25,0.44
0.12,0.45
0.12,0.59
0.23,0.57
0.26,0.42
0.23,0.42
0.18,0.49
0.18,0.51
0.21,0.48
0.19,0.41
0.17,0.48
0.16,0.6
0.34,0.44
0.23,0.44
0.21,0.44
0.18,0.41
0.17,0.58
0.18,0.56
0.17,0.59
0.18,0.78
0.21,0.5
0.31,0.42
0.32,0.42
0.22,0.42
0.32,0.42
0.32,0.43
0.28,0.43
0.21,0.54
0.3,0.44
0.24,0.46
0.19,0.46
0.19,0.47
0.2,0.55
0.29,0.47
0.27,0.46
0.21,0.46
0.2,0.46
0.23,0.47
0.3,0.49
0.29,0.46
0.3,0.47
0.28,0.49
0.18,0.49
0.29,0.58
0.19,0.61
0.33,0.44
0.35,0.44
0.22,0.43
0.21,0.47
0.19,0.73
0.34,0.89
0.18,0.79
0.33,0.47
0.28,0.47
0.26,0.45
0.19,0.44
0.21,0.56
0.21,0.49
0.16,0.59
0.16,0.49
0.19,0.45
0.21,0.45
0.33,0.45
0.3,0.44
0.22,0.43
0.22,0.42
0.19,0.46
0.18,0.48
0.2,0.45
0.3,0.45
0.3,0.45
0.22,0.44
0.31,0.43
0.2,0.44
0.19,0.46
0.19,0.63
0.31,0.48
0.3,0.46
0.21,0.46
0.21,0.49
0.19,0.5
0.19,0.5
0.3,0.46
0.23,0.49
0.23,0.48
0.2,0.47
0.22,0.47
0.21,0.46
0.31,0.43
0.25,0.42
0.19,0.41
0.19,0.56
0.32,0.56
0.21,0.54
0.15,0.57
0.2,0.56
0.22,0.43
0.22,0.44
0.29,0.42
0.19,0.43
0.33,0.42
0.21,0.45
0.31,0.48
0.27,0.47
0.19,0.48
0.16,0.48
0.24,0.48
0.16,0.48
0.18,0.47
0.19,0.59
0.3,0.47
0.31,0.41
0.22,0.44
0.29,0.5
0.2,0.46
0.31,0.42
0.22,0.4
0.3,0.4
0.19,0.4
0.2,0.5
0.21,0.58
0.24,0.53
0.25,0.4
0.21,0.42
