ear,mar
0.33,0.41
0.36,0.45
0.31,0.4
0.33,0.32
0.24,0.21
0.26,0.27
0.26,0.23
0.28,0.24
0.26,0.22
0.26,0.25
0.28,0.31
0.29,0.34
0.28,0.36
0.26,0.38
0.3,0.37
0.27,0.38
0.27,0.37
0.29,0.39
0.27,0.38
0.32,0.39
0.29,0.39
0.32,0.39
0.28,0.39
0.31,0.39
0.28,0.39
0.3,0.39
0.3,0.4
0.27,0.41
0.27,0.39
0.27,0.4
0.28,0.42
0.31,0.42
0.3,0.42
0.31,0.41
0.28,0.4
0.28,0.4
0.27,0.4
0.27,0.42
0.3,0.41
0.28,0.42
0.27,0.41
0.29,0.44
0.3,0.44
0.28,0.44
0.29,0.43
0.3,0.43
0.32,0.43
0.3,0.39
0.29,0.38
0.31,0.52
0.23,0.4
0.3,0.39
0.27,0.49
0.34,0.52
0.3,0.51
0.3,0.53
0.26,0.47
0.26,0.41
0.27,0.4
0.33,0.43
0.28,0.41
0.26,0.41
0.29,0.4
0.28,0.5
0.28,0.36
0.29,0.38
0.28,0.38
0.24,0.4
0.31,0.39
0.31,0.4
0.35,0.38
0.35,0.4
0.32,0.4
0.28,0.39
0.3,0.38
0.36,0.33
0.34,0.35
0.35,0.39
0.35,0.33
0.34,0.3
0.35,0.28
0.27,0.38
0.3,0.41
0.37,0.32
0.24,0.4
0.3,0.41
0.29,0.41
0.28,0.39
0.28,0.42
0.31,0.41
0.3,0.4
0.31,0.4
0.31,0.42
0.32,0.42
0.28,0.41
0.29,0.42
0.27,0.39
0.28,0.4
0.34,0.41
0.34,0.39
0.34,0.4
0.3,0.4
0.32,0.41
0.37,0.35
0.29,0.39
0.22,0.4
0.33,0.44
0.25,0.4
0.33,0.38
0.33,0.41
0.32,0.42
0.34,0.4
0.22,0.4
0.33,0.4
0.31,0.42
0.24,0.4
0.31,0.4
0.35,0.4
0.39,0.37
0.35,0.42
0.33,0.4
0.3,0.41
0.33,0.35
0.36,0.39
0.31,0.4
0.3,0.4
0.32,0.41
0.31,0.43
0.29,0.4
0.37,0.3
0.36,0.4
0.33,0.32
0.33,0.32
0.32,0.4
0.31,0.4
0.32,0.42
0.32,0.38
0.36,0.43
0.35,0.4
0.31,0.36
0.31,0.35
0.33,0.32
0.28,0.37
0.32,0.47
0.3,0.36
0.32,0.37
0.32,0.36
0.32,0.4
0.34,0.41
0.34,0.35
0.29,0.36
0.32,0.37
0.3,0.39
0.31,0.37
0.3,0.38
0.28,0.39
0.34,0.29
0.31,0.44
0.29,0.36
0.34,0.29
0.32,0.32
0.31,0.36
0.31,0.31
0.32,0.35
0.34,0.33
0.32,0.28
0.36,0.47
0.27,0.4
0.37,0.41
0.35,0.36
0.35,0.33
0.24,0.41
0.27,0.4
0.32,0.41
0.3,0.43
0.3,0.33
0.31,0.38
0.33,0.4
0.31,0.41
0.28,0.4
0.32,0.42
0.31,0.42
0.32,0.4
0.3,0.39
0.32,0.41
0.3,0.39
0.29,0.4
0.3,0.4
0.31,0.4
0.31,0.41
0.27,0.4
0.27,0.38
0.28,0.42
0.28,0.39
0.27,0.39
0.34,0.41
0.28,0.4
0.34,0.4
0.35,0.4
0.33,0.41
0.34,0.4
0.29,0.38
0.35,0.42
0.34,0.41
0.34,0.4
0.33,0.39
0.36,0.39
0.35,0.41
0.34,0.39
0.34,0.39
0.33,0.4
0.32,0.4
0.33,0.39
0.32,0.4
0.34,0.36
0.34,0.35
0.31,0.38
0.31,0.37
0.29,0.4
0.36,0.33
0.3,0.38
0.37,0.33
0.38,0.36
0.31,0.38
0.29,0.39
0.34,0.32
0.35,0.31
0.34,0.28
0.33,0.29
0.3,0.38
0.24,0.28
0.34,0.28
0.35,0.39
0.36,0.31
0.33,0.29
0.33,0.28
0.31,0.29
0.34,0.4
0.32,0.4
0.3,0.41
0.34,0.41
0.32,0.43
0.36,0.41
0.34,0.39
0.31,0.39
0.32,0.38
0.32,0.38
0.31,0.38
0.31,0.37
0.33,0.39
0.3,0.4
0.35,0.42
0.31,0.35
0.29,0.38
0.33,0.39
0.3,0.4
0.31,0.39
0.34,0.39
0.36,0.42
0.35,0.4
0.32,0.43
0.29,0.45
0.35,0.42
0.29,0.42
0.31,0.44
0.31,0.43
0.32,0.43
