ear,mar
0.36,0.21
0.32,0.31
0.32,0.39
0.31,0.4
0.32,0.38
0.34,0.39
0.31,0.36
0.36,0.3
0.37,0.28
0.34,0.39
0.37,0.35
0.39,0.37
0.37,0.3
0.36,0.32
0.34,0.32
0.34,0.29
0.37,0.28
0.35,0.33
0.32,0.39
0.35,0.38
0.36,0.38
0.36,0.33
0.38,0.28
0.36,0.28
0.36,0.37
0.36,0.35
0.35,0.41
0.33,0.39
0.37,0.4
0.37,0.41
0.34,0.3
0.33,0.24
0.31,0.19
0.33,0.21
0.33,0.25
0.35,0.34
0.31,0.34
0.37,0.38
0.37,0.4
0.37,0.42
0.36,0.42
0.39,0.28
0.35,0.27
0.4,0.28
0.36,0.4
0.31,0.4
0.28,0.39
0.31,0.39
0.31,0.39
0.28,0.38
0.31,0.35
0.35,0.31
0.34,0.39
0.32,0.39
0.38,0.3
0.39,0.42
0.37,0.39
0.36,0.42
0.33,0.41
0.32,0.4
0.29,0.37
0.34,0.27
0.35,0.26
0.31,0.39
0.29,0.39
0.31,0.28
0.28,0.39
0.33,0.31
0.29,0.38
0.36,0.28
0.33,0.3
0.31,0.38
0.29,0.38
0.29,0.38
0.31,0.39
0.32,0.38
0.33,0.3
0.3,0.3
0.38,0.27
0.39,0.28
0.36,0.41
0.34,0.39
0.38,0.39
0.38,0.43
0.39,0.42
0.37,0.44
0.37,0.44
0.36,0.43
0.37,0.44
0.36,0.24
0.33,0.43
0.34,0.42
0.37,0.41
0.35,0.43
0.34,0.27
0.35,0.2
0.39,0.25
0.37,0.25
0.36,0.28
0.36,0.3
0.37,0.38
0.37,0.39
0.38,0.36
0.29,0.37
0.4,0.39
0.42,0.41
0.35,0.4
0.39,0.37
0.33,0.41
0.34,0.41
0.36,0.42
0.31,0.38
0.37,0.25
0.31,0.32
0.35,0.37
0.32,0.39
0.34,0.41
0.33,0.4
0.31,0.4
0.34,0.4
0.33,0.4
0.3,0.39
0.35,0.41
0.36,0.4
0.34,0.4
0.33,0.42
0.33,0.4
0.34,0.42
0.34,0.41
0.29,0.41
0.34,0.41
0.3,0.41
0.3,0.42
0.31,0.41
0.33,0.41
0.37,0.4
0.35,0.41
0.33,0.42
0.33,0.41
0.33,0.41
0.3,0.4
0.3,0.4
0.32,0.41
0.3,0.38
0.31,0.39
0.29,0.4
0.29,0.39
0.33,0.31
0.36,0.38
0.34,0.33
0.35,0.38
0.33,0.31
0.3,0.37
0.37,0.24
0.34,0.24
0.32,0.3
0.3,0.37
0.31,0.39
0.3,0.39
0.35,0.41
0.31,0.4
0.31,0.4
0.31,0.41
0.32,0.39
0.31,0.41
0.35,0.41
0.33,0.41
0.36,0.4
0.34,0.39
0.35,0.41
0.33,0.41
0.32,0.41
0.38,0.41
0.32,0.41
0.32,0.4
0.32,0.41
0.35,0.41
0.34,0.41
0.34,0.41
0.33,0.4
0.34,0.42
0.34,0.42
0.32,0.41
0.32,0.42
0.34,0.42
0.34,0.42
0.34,0.41
0.35,0.43
0.34,0.4
0.35,0.18
0.38,0.28
0.37,0.16
0.34,0.12
0.36,0.23
0.33,0.32
0.33,0.38
0.31,0.4
0.36,0.41
0.37,0.4
0.38,0.42
0.39,0.42
0.36,0.42
0.31,0.41
0.33,0.4
0.36,0.26
0.37,0.4
0.38,0.39
0.36,0.41
0.34,0.36
0.36,0.4
0.38,0.39
0.38,0.38
0.38,0.31
0.37,0.39
0.35,0.4
0.37,0.4
0.36,0.27
0.34,0.32
0.37,0.38
0.37,0.39
0.38,0.35
0.37,0.41
0.4,0.39
0.38,0.4
0.38,0.4
0.36,0.41
0.35,0.32
0.36,0.39
0.38,0.36
0.38,0.39
0.38,0.4
0.31,0.39
0.32,0.41
0.35,0.41
0.35,0.41
0.32,0.38
0.37,0.37
0.38,0.25
0.32,0.41
0.33,0.4
0.37,0.25
0.18,0.26
0.24,0.24
0.24,0.26
0.28,0.29
0.3,0.34
0.34,0.35
0.35,0.37
0.36,0.37
0.37,0.37
0.38,0.38
0.38,0.38
0.35,0.38
0.37,0.39
0.37,0.37
0.4,0.29
0.37,0.38
0.36,0.36
0.38,0.39
0.36,0.39
0.37,0.38
0.33,0.23
0.3,0.37
0.34,0.39
0.31,0.37
0.31,0.38
0.31,0.41
0.34,0.38
0.32,0.39
0.3,0.4
0.32,0.39
0.32,0.4
0.32,0.38
0.33,0.39
0.31,0.38
0.31,0.39
0.32,0.39
0.35,0.39
0.32,0.39
0.3,0.38
0.3,0.38
