ear,mar
0.29,0.39
0.26,0.41
0.35,0.47
0.34,0.45
0.33,0.45
0.33,0.53
0.34,0.48
0.35,0.47
0.23,0.47
0.34,0.48
0.35,0.46
0.35,0.46
0.35,0.46
0.31,0.47
0.36,0.47
0.2,0.43
0.3,0.45
0.29,0.43
0.35,0.42
0.33,0.42
0.34,0.42
0.31,0.41
0.29,0.42
0.37,0.42
0.24,0.41
0.34,0.4
0.32,0.42
0.29,0.42
0.24,0.42
0.32,0.43
0.33,0.42
0.32,0.42
0.35,0.43
0.29,0.42
0.32,0.44
0.33,0.44
0.35,0.43
0.3,0.43
0.38,0.43
0.34,0.46
0.2,0.52
0.33,0.46
0.27,0.51
0.2,0.72
0.2,0.78
0.2,0.67
0.31,0.4
0.33,0.38
0.22,0.43
0.33,0.39
0.35,0.42
0.28,0.48
0.29,0.47
0.29,0.51
0.16,0.48
0.3,0.4
0.35,0.4
0.29,0.41
0.33,0.51
0.36,0.42
0.33,0.43
0.33,0.45
0.35,0.44
0.33,0.43
0.35,0.42
0.38,0.42
0.36,0.42
0.23,0.45
0.36,0.46
0.23,0.43
0.34,0.45
0.28,0.45
0.34,0.46
0.34,0.43
0.34,0.45
0.38,0.44
0.3,0.43
0.34,0.44
0.34,0.45
0.33,0.46
0.31,0.51
0.28,0.53
0.33,0.48
0.35,0.49
0.35,0.42
0.29,0.47
0.31,0.45
0.33,0.44
0.33,0.42
0.24,0.54
0.2,0.69
0.24,0.5
0.22,0.41
0.34,0.33
0.33,0.36
0.31,0.36
0.35,0.35
0.37,0.36
0.29,0.31
0.26,0.34
0.2,0.35
0.3,0.37
0.33,0.39
0.23,0.54
0.33,0.48
0.32,0.47
0.33,0.53
0.33,0.48
0.35,0.56
0.33,0.51
0.36,0.44
0.3,0.38
0.25,0.46
0.31,0.47
0.19,0.4
0.22,0.4
0.33,0.43
0.33,0.46
0.28,0.45
0.35,0.46
0.22,0.66
0.25,0.74
0.22,0.65
0.2,0.82
0.2,0.36
0.31,0.34
0.34,0.36
0.23,0.34
0.34,0.36
0.34,0.36
0.34,0.37
0.26,0.56
0.24,0.51
0.32,0.5
0.32,0.44
0.21,0.56
0.32,0.43
0.36,0.48
0.24,0.48
0.24,0.39
0.31,0.49
0.31,0.58
0.35,0.49
0.33,0.48
0.31,0.58
0.29,0.57
0.29,0.59
0.31,0.54
0.3,0.56
0.35,0.38
0.26,0.44
0.3,0.43
0.29,0.43
0.3,0.48
0.26,0.7
0.3,0.44
0.32,0.46
0.31,0.48
0.26,0.57
0.35,0.5
0.3,0.61
0.33,0.51
0.32,0.54
0.24,0.45
0.31,0.54
0.33,0.55
0.28,0.48
0.33,0.51
0.22,0.47
0.35,0.52
0.23,0.44
0.31,0.5
0.28,0.5
0.34,0.45
0.29,0.42
0.18,0.42
0.32,0.52
0.31,0.46
0.32,0.45
0.25,0.46
0.31,0.52
0.31,0.43
0.31,0.47
0.3,0.52
0.28,0.52
0.32,0.51
0.34,0.55
0.34,0.61
0.27,0.52
0.32,0.48
0.24,0.49
0.24,0.5
0.23,0.58
0.31,0.46
0.28,0.42
0.3,0.43
0.32,0.57
0.31,0.48
0.31,0.5
0.19,0.48
0.34,0.63
0.34,0.63
0.32,0.6
0.23,0.58
0.33,0.53
0.33,0.5
0.33,0.45
0.29,0.52
0.33,0.56
0.31,0.48
0.34,0.41
0.3,0.32
0.22,0.63
0.35,0.48
0.28,0.62
0.33,0.44
0.33,0.59
0.3,0.56
0.32,0.51
0.33,0.6
0.28,0.47
0.28,0.45
0.28,0.44
0.31,0.47
0.26,0.5
0.29,0.48
0.33,0.43
0.31,0.46
0.21,0.74
0.22,0.76
0.23,0.73
0.19,0.8
0.23,0.37
0.34,0.34
0.33,0.36
0.29,0.36
0.32,0.34
0.32,0.36
0.22,0.36
0.32,0.37
0.33,0.36
0.32,0.47
0.3,0.38
0.32,0.53
