ear,mar
0.35,0.31
0.27,0.26
0.19,0.28
0.23,0.31
0.24,0.38
0.2,0.26
0.3,0.36
0.32,0.5
0.29,0.37
0.23,0.39
0.22,0.4
0.27,0.61
0.19,0.41
0.25,0.33
0.33,0.34
0.3,0.41
0.25,0.39
0.21,0.35
0.26,0.38
0.24,0.34
0.23,0.44
0.33,0.48
0.32,0.39
0.27,0.44
0.24,0.81
0.25,0.79
0.26,0.4
0.34,0.34
0.18,0.38
0.25,0.44
0.25,0.28
0.2,0.36
0.26,0.27
0.22,0.3
0.21,0.41
0.19,0.39
0.25,0.32
0.24,0.41
0.28,0.39
0.3,0.4
0.29,0.45
0.23,0.34
0.31,0.36
0.22,0.45
0.25,0.44
0.23,0.39
0.29,0.41
0.27,0.46
0.28,0.51
0.27,0.28
0.31,0.52
0.28,0.42
0.28,0.4
0.29,0.47
0.3,0.41
0.32,0.61
0.31,0.82
0.34,0.71
0.36,0.56
0.34,0.69
0.28,0.47
0.12,0.32
0.23,0.37
0.22,0.39
0.16,0.37
0.17,0.32
0.19,0.35
0.22,0.39
0.22,0.3
0.2,0.37
0.2,0.38
0.23,0.36
0.27,0.49
0.23,0.4
0.24,0.39
0.25,0.42
0.25,0.38
0.25,0.41
0.23,0.38
0.25,0.42
0.26,0.48
0.3,0.48
0.3,0.37
0.32,0.32
0.31,0.35
0.18,0.43
0.23,0.39
0.22,0.38
0.26,0.44
0.33,0.46
0.29,0.46
0.29,0.5
0.3,0.49
0.31,0.52
0.33,0.46
0.29,0.53
0.29,0.52
0.32,0.47
0.26,0.39
0.25,0.35
0.24,0.42
0.26,0.38
0.35,0.63
0.29,0.45
0.26,0.4
0.36,0.44
0.24,0.34
0.3,0.45
0.27,0.46
0.24,0.45
0.29,0.4
